0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,23.999999999999996,40.0,20.0,20.0,23.999999999999996,23.999999999999996,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,23.999999999999996,8.0,27.999999999999996,8.0,11.999999999999998,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,11.999999999999998,11.999999999999998,16.0,0.0,11.999999999999998,8.0,11.999999999999998,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
4.0,11.999999999999998,4.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,32.0,40.0,23.999999999999996,11.999999999999998,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.999999999999998,23.999999999999996,11.999999999999998,11.999999999999998,27.999999999999996,11.999999999999998,11.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,20.0,23.999999999999996,20.0,20.0,23.999999999999996,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,40.0,23.999999999999996,11.999999999999998,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,27.999999999999996,20.0,11.999999999999998,27.999999999999996,4.0,11.999999999999998,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,16.0,44.0,47.99999999999999,36.0,32.0,11.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,20.0,40.0,40.0,23.999999999999996,27.999999999999996,16.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
0.0,20.0,20.0,20.0,20.0,32.0,8.0,11.999999999999998,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,11.999999999999998,44.0,27.999999999999996,27.999999999999996,23.999999999999996,11.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,4.0,4.0,11.999999999999998,11.999999999999998,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,4.0,11.999999999999998,20.0,20.0,32.0,11.999999999999998,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
