index,time,channel,amplitude
168,3.782,c_75ch,-20.84277
169,3.82,c_829ch,-29.12343
170,3.82555,c_903ch,-28.69987
171,3.8343,c_986ch,-25.62356
172,3.86015,c_932ch,-25.11213
173,3.8965,c_829ch,-27.91143
174,3.9256,c_153ch,-41.87277
175,3.94545,c_67ch,-20.60723
176,3.94545,c_829ch,-32.22248
177,3.9455,c_565ch,-19.40025
178,3.9455,c_1022ch,-25.59208
179,3.9457,c_629ch,-18.16399
180,3.95685,c_528ch,-32.7342
181,3.95715,c_660ch,-37.87864
182,3.95715,c_888ch,-24.82006
183,3.98705,c_724ch,-34.06828
184,3.9871,c_640ch,-24.79124
185,3.98715,c_652ch,-24.94316
186,3.9875,c_656ch,-20.46139
187,4.0218,c_637ch,-133.4601
188,4.0218,c_721ch,-130.9803
189,4.0218,c_754ch,-1713.555
190,4.0218,c_734ch,-1714.746
191,4.0218,c_956ch,-246.8383
192,4.0218,c_778ch,-1682.394
193,4.0218,c_1007ch,-115.1858
194,4.0218,c_17ch,-113.8567
195,4.06765,c_883ch,-101.1234
196,4.17335,c_933ch,-30.70397
197,4.184,c_959ch,-34.35025
198,4.19205,c_43ch,-21.48279
199,4.21225,c_811ch,-74.88118
200,4.21635,c_811ch,-69.21895
201,4.3368,c_986ch,-27.22675
202,4.33695,c_779ch,-24.62441
203,4.338,c_911ch,-25.48256
204,4.3458,c_11ch,-25.2384
205,4.44175,c_652ch,-25.05648
206,4.44235,c_392ch,-31.90509
207,4.4924,c_684ch,-21.64063
208,4.54295,c_255ch,-22.02611
209,4.5888,c_903ch,-32.44363
210,4.6126,c_392ch,-23.52813
211,4.6167,c_986ch,-26.88575
212,4.72745,c_11ch,-28.175
213,4.7276,c_822ch,-26.5232
214,4.7647,c_954ch,-22.23352
215,4.7788,c_909ch,-27.53614
216,4.80125,c_153ch,-54.0738
217,4.8591,c_711ch,-24.41565
218,4.8772,c_862ch,-24.50376
219,4.87725,c_909ch,-28.94216
220,4.8929,c_236ch,-27.19567
221,4.9285,c_528ch,-32.20622
222,4.9288,c_660ch,-31.12848
223,4.92885,c_888ch,-24.0772
224,4.94055,c_724ch,-22.06523
225,4.9407,c_532ch,-22.4455
226,4.9407,c_652ch,-28.6543
227,4.9408,c_208ch,-30.38855
228,4.94095,c_680ch,-40.78478
229,4.941,c_612ch,-27.58784
230,4.94105,c_784ch,-36.43235
231,4.9861,c_723ch,-23.0867
232,5.12115,c_696ch,-29.11585
233,5.12125,c_748ch,-20.29771
234,5.20455,c_959ch,-32.38056
235,5.2046,c_932ch,-18.73487
236,5.20465,c_870ch,-21.00356
237,5.248,c_932ch,-28.73633
238,5.2521,c_576ch,-28.45285
239,5.2525,c_1020ch,-21.39662
240,5.2596,c_708ch,-21.09627
241,5.2598,c_1008ch,-29.87152
242,5.3185,c_576ch,-18.29159
243,5.31855,c_528ch,-29.132
244,5.3289,c_638ch,-29.45798
245,5.32895,c_718ch,-28.02596
246,5.3291,c_915ch,-22.37504
247,5.34805,c_903ch,-34.10467
248,5.3706,c_664ch,-34.27089
249,5.3801,c_111ch,-20.40197
250,5.40505,c_236ch,-25.18412
251,5.42075,c_153ch,-42.96277
252,5.4558,c_986ch,-25.09521
253,5.4707,c_932ch,-22.7352
254,5.5134,c_528ch,-22.95554
255,5.5138,c_660ch,-31.85526
256,5.5138,c_888ch,-33.60382
257,5.5605,c_576ch,-20.19473
258,5.58615,c_986ch,-26.12961
259,5.6107,c_385ch,-21.29972
260,5.65845,c_932ch,-27.10835
261,5.664,c_396ch,-20.0955
262,5.81605,c_932ch,-20.5113
263,5.8701,c_874ch,-24.8576
264,6.0203,c_78ch,-29.28637
265,6.02035,c_959ch,-28.13582
266,6.0518,c_862ch,-22.98124
267,6.05185,c_909ch,-27.20311
268,6.0705,c_1016ch,-22.27689
269,6.10355,c_862ch,-24.69624
270,6.17305,c_1016ch,-33.84356
271,6.1733,c_660ch,-27.18412
272,6.1959,c_38ch,-21.59955
273,6.2644,c_815ch,-22.56344
274,6.2966,c_724ch,-29.83029
275,6.30555,c_909ch,-21.41252
276,6.36655,c_686ch,-32.01579
277,6.37825,c_576ch,-26.88738
278,6.405,c_528ch,-30.2632
279,6.40535,c_660ch,-28.95428
280,6.4953,c_724ch,-28.10956
281,6.49575,c_656ch,-29.46919
282,6.4993,c_731ch,-23.50011
283,6.5074,c_932ch,-20.01515
284,6.59365,c_78ch,-23.14154
285,6.7241,c_874ch,-26.47786
286,6.75845,c_576ch,-24.01168
287,6.75885,c_1020ch,-20.15023
288,6.78475,c_758ch,-30.07948
289,6.81585,c_153ch,-34.83332
290,6.94135,c_638ch,-29.68502
291,6.9414,c_718ch,-29.18929
292,6.96,c_22ch,-29.55195
293,6.96335,c_611ch,-27.98661
294,6.97015,c_933ch,-38.87115
295,7.00885,c_862ch,-24.6567
296,7.00895,c_909ch,-22.91284
297,7.02465,c_933ch,-35.86837
298,7.0368,c_127ch,-15.80421
299,7.082,c_680ch,-24.36455
300,7.08975,c_933ch,-32.83939
301,7.1183,c_532ch,-28.94204
302,7.11835,c_208ch,-31.20727
303,7.1185,c_396ch,-20.16749
304,7.1185,c_612ch,-32.08295
305,7.11855,c_680ch,-31.78619
306,7.1186,c_784ch,-41.82103
307,7.1371,c_528ch,-29.7481
308,7.13745,c_660ch,-35.74632
309,7.1375,c_888ch,-26.90766
310,7.14455,c_862ch,-19.14525
311,7.15605,c_638ch,-22.75206
312,7.1561,c_718ch,-31.1225
313,7.1675,c_724ch,-40.88623
314,7.1678,c_396ch,-20.54056
315,7.16795,c_656ch,-21.41034
316,7.16835,c_970ch,-21.23492
317,7.203,c_903ch,-29.53205
318,7.25845,c_208ch,-25.62312
319,7.25845,c_532ch,-24.35016
320,7.25845,c_652ch,-22.70108
321,7.2587,c_680ch,-35.04427
322,7.2588,c_784ch,-30.09545
323,7.2693,c_959ch,-28.41879
324,7.39965,c_1013ch,-21.7404
325,7.40815,c_236ch,-24.15367
326,7.5106,c_731ch,-25.40271
327,7.5127,c_528ch,-26.37021
328,7.54375,c_1020ch,-28.78412
329,7.5986,c_865ch,-24.05672
330,7.6346,c_1016ch,-27.26749
331,7.63475,c_660ch,-23.512
332,7.67205,c_385ch,-21.89845
333,7.67545,c_724ch,-24.54413
334,7.8774,c_385ch,-20.47212
335,7.8974,c_236ch,-29.51032
336,7.9077,c_528ch,-23.25157
337,7.9124,c_153ch,-42.52357
338,7.95175,c_90ch,-20.005
339,7.97695,c_528ch,-31.42231
340,7.97725,c_660ch,-23.79054
341,8.01295,c_932ch,-24.62829
342,8.03575,c_826ch,-20.94943
343,8.11805,c_385ch,-20.90136
344,8.1305,c_1013ch,-24.32009
345,8.186,c_931ch,-21.04031
346,8.19375,c_868ch,-25.00922
347,8.1985,c_576ch,-22.22368
348,8.1989,c_1020ch,-17.76748
349,8.20555,c_528ch,-28.26445
350,8.20585,c_660ch,-31.511
351,8.27175,c_921ch,-28.34016
352,8.28445,c_236ch,-34.89397
353,8.32165,c_946ch,-47.30754
354,8.3393,c_909ch,-21.65236
355,8.34955,c_933ch,-42.71796
356,8.41905,c_55ch,-20.73048
357,8.42435,c_875ch,-27.19353
358,8.4411,c_747ch,-26.36311
359,8.4917,c_932ch,-19.22504
360,8.51325,c_874ch,-26.60201
361,8.628,c_798ch,-23.24573
362,8.63355,c_392ch,-32.27006
363,8.71075,c_236ch,-24.59148
364,8.7108,c_392ch,-33.83582
365,8.72485,c_89ch,-20.4337
366,8.7313,c_1016ch,-27.46617
367,8.8044,c_971ch,-25.75104
368,8.81675,c_933ch,-27.85935
369,8.92475,c_724ch,-28.01668
370,8.99625,c_1020ch,-24.25856
371,9.0218,c_956ch,-226.7962
372,9.0218,c_34ch,-114.511
373,9.0218,c_889ch,-260.4573
374,9.0218,c_936ch,-140.0415
375,9.0218,c_215ch,-197.9799
376,9.0218,c_58ch,-116.4919
377,9.1009,c_862ch,-26.45988
378,9.10095,c_909ch,-29.26578
379,9.1391,c_669ch,-97.39558
380,9.1591,c_236ch,-26.04116
381,9.1679,c_392ch,-29.08635
382,9.20805,c_932ch,-26.97856
383,9.2419,c_724ch,-31.15577
384,9.28425,c_392ch,-27.79909
385,9.2864,c_22ch,-25.47736
386,9.2897,c_611ch,-25.68178
387,9.32905,c_862ch,-20.48811
388,9.39535,c_724ch,-23.23319
389,9.39565,c_576ch,-19.19242
390,9.39575,c_528ch,-30.61234
391,9.39605,c_660ch,-31.64251
392,9.63905,c_392ch,-28.11933
393,9.6465,c_874ch,-24.50113
394,9.7083,c_392ch,-26.66184
395,9.76065,c_862ch,-24.98063
396,9.7607,c_909ch,-26.05946
397,9.7974,c_153ch,-34.83411
398,9.8115,c_724ch,-27.20052
